,datasetPID,datasetPIDUrl,numberOfVersions,publicationDate,latestReleaseDate,ageOfDataset(Days),ageOfLastUpdate(Days),descriptionLenth,license,termsExist,relPubCount,relPubPIDCount,usedMetadataBlocks,numberOfFiles,noFileDescriptionCount,fileTagsExist,uniqueContentTypes,ingestedTabFilesCount,uningestedTabFilesCount,restrictedFilesCount
31,doi:10.7910/DVN/HJ9SWF,https://doi.org/10.7910/DVN/HJ9SWF,1,2020-01-11 22:10:01+00:00,2020-01-11 22:10:01+00:00,290,290,1347,CC0,True,0,0,citation,2,2,False,"application/x-stata-syntax,text/tab-separated-values",1,0,0
32,doi:10.7910/DVN/AUNLOB,https://doi.org/10.7910/DVN/AUNLOB,1,2020-01-11 22:09:31+00:00,2020-01-11 22:09:31+00:00,290,290,1198,CC0,True,0,0,citation,2,2,False,"application/zip,text/plain",0,0,0
33,doi:10.7910/DVN/SZA9LU,https://doi.org/10.7910/DVN/SZA9LU,1,2020-01-11 22:15:37+00:00,2020-01-11 22:15:37+00:00,290,290,1480,CC0,True,0,0,citation,5,5,False,"application/msword,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/x-stata-syntax,text/tab-separated-values",1,2,0
34,doi:10.7910/DVN/KPRL5U,https://doi.org/10.7910/DVN/KPRL5U,1,2020-01-11 22:14:39+00:00,2020-01-11 22:14:39+00:00,290,290,2026,CC0,True,0,0,citation,3,3,False,"application/x-stata-syntax,text/tab-separated-values",2,0,0
35,doi:10.7910/DVN/9HLR8B,https://doi.org/10.7910/DVN/9HLR8B,1,2020-01-11 22:15:04+00:00,2020-01-11 22:15:04+00:00,290,290,802,CC0,True,0,0,citation,5,5,False,"application/x-stata-14,application/x-stata-syntax,text/tab-separated-values",1,1,0
36,doi:10.7910/DVN/XLYTC7,https://doi.org/10.7910/DVN/XLYTC7,1,2020-01-30 09:35:59+00:00,2020-01-30 09:35:59+00:00,272,272,83,CC0,True,0,0,citation,8,8,False,"application/pdf,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/x-stata-syntax,text/tab-separated-values,type/x-r-syntax",3,0,0
37,doi:10.7910/DVN/T7PXKJ,https://doi.org/10.7910/DVN/T7PXKJ,1,2020-01-27 07:00:52+00:00,2020-01-27 07:00:52+00:00,275,275,1052,CC0,True,0,0,citation,4,0,False,"text/tab-separated-values,type/x-r-syntax",3,0,0
38,doi:10.7910/DVN/XJ1UQK,https://doi.org/10.7910/DVN/XJ1UQK,1,2020-03-19 13:28:06+00:00,2020-03-19 13:28:06+00:00,223,223,321,CC0,True,0,0,citation,1,1,False,type/x-r-syntax,0,0,0
39,doi:10.7910/DVN/EFA6HG,https://doi.org/10.7910/DVN/EFA6HG,1,2020-01-23 06:38:07+00:00,2020-01-23 06:38:07+00:00,279,279,1433,CC0,True,0,0,citation,5,5,False,"application/x-stata-syntax,text/tab-separated-values",1,0,0
40,doi:10.7910/DVN/3GQTYA,https://doi.org/10.7910/DVN/3GQTYA,1,2019-08-15 08:37:44+00:00,2019-08-15 08:37:44+00:00,440,440,1356,CC0,True,1,1,citation,2,2,True,"application/x-stata-syntax,text/tab-separated-values",1,0,0
41,doi:10.7910/DVN/SY0FXF,https://doi.org/10.7910/DVN/SY0FXF,1,2019-08-15 08:39:39+00:00,2019-08-15 08:39:39+00:00,440,440,177,CC0,True,1,1,citation,5,5,False,"application/x-stata-syntax,text/tab-separated-values",4,0,0
42,doi:10.7910/DVN/FSNEZY,https://doi.org/10.7910/DVN/FSNEZY,1,2019-08-15 08:35:11+00:00,2019-08-15 08:35:11+00:00,440,440,1683,CC0,True,1,1,citation,106,106,False,"application/octet-stream,application/rtf,application/x-stata-syntax,text/csv,text/tab-separated-values,type/x-r-syntax",92,1,0
43,doi:10.7910/DVN/98FIZD,https://doi.org/10.7910/DVN/98FIZD,1,2020-02-26 03:33:55+00:00,2020-02-26 03:33:55+00:00,245,245,91,CC0,True,1,0,citation,10,0,False,"application/pdf,application/x-stata-syntax,text/rtf,text/tab-separated-values,type/x-r-syntax",6,0,0
44,doi:10.7910/DVN/JXGZKX,https://doi.org/10.7910/DVN/JXGZKX,1,2019-04-17 02:03:32+00:00,2019-04-17 02:03:32+00:00,560,560,1685,CC0,True,1,1,citation,8,7,False,"image/png,text/tab-separated-values,type/x-r-syntax",6,0,0
45,doi:10.7910/DVN/5DX7DP,https://doi.org/10.7910/DVN/5DX7DP,2,2020-04-07 13:38:51+00:00,2020-06-05 15:01:39+00:00,204,144,109,CC0,True,1,0,citation,30,30,False,"application/gzip,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/x-rlang-transport,text/tab-separated-values,type/x-r-syntax",5,3,0
46,doi:10.7910/DVN/LRP3SZ,https://doi.org/10.7910/DVN/LRP3SZ,1,2020-04-01 01:31:57+00:00,2020-04-01 01:31:57+00:00,210,210,1025,CC0,True,1,0,citation,7,7,False,"application/pdf,text/rtf,text/tab-separated-values,type/x-r-syntax",2,0,0
47,doi:10.7910/DVN/W03YWD,https://doi.org/10.7910/DVN/W03YWD,1,2019-04-17 02:02:29+00:00,2019-04-17 02:02:29+00:00,560,560,1323,CC0,True,1,1,citation,6,6,False,"application/x-stata-syntax,text/rtf,text/tab-separated-values,type/x-r-syntax",3,0,0
