,datasetPID,datasetPIDUrl,numberOfVersions,publicationDate,latestReleaseDate,ageOfDataset(Days),ageOfLastUpdate(Days),descriptionLenth,termsExist,relPubCount,relPubPIDCount,usedMetadataBlocks,numberOfFiles,noFileDescriptionCount,uniqueContentTypes,uningestedTabFilesCount,restrictedFilesCount
0,doi:10.7910/DVN/WEYEUM,https://doi.org/10.7910/DVN/WEYEUM,1,2020-10-21 18:23:49+00:00,2020-10-21 18:23:49+00:00,6,6,1292,True,0,0,citation,2,2,"application/x-stata-syntax,text/tab-separated-values",0,0
1,doi:10.7910/DVN/1GGBBK,https://doi.org/10.7910/DVN/1GGBBK,1,2020-10-19 17:53:58+00:00,2020-10-19 17:53:58+00:00,8,8,1072,True,0,0,citation,18,18,"application/dbf,application/pdf,application/shp,application/shx,application/x-stata-syntax,text/tab-separated-values,type/x-r-syntax",0,0
2,doi:10.7910/DVN/1NTFKO,https://doi.org/10.7910/DVN/1NTFKO,2,2020-10-16 19:37:42+00:00,2020-10-16 20:57:31+00:00,11,10,1685,True,0,0,citation,6,6,"application/pdf,text/tab-separated-values,type/x-r-syntax",0,0
3,doi:10.7910/DVN/U6ZBWT,https://doi.org/10.7910/DVN/U6ZBWT,1,2020-08-05 14:44:22+00:00,2020-08-05 14:44:22+00:00,83,83,41,True,0,0,citation,7,5,"application/x-stata-14,application/x-stata-syntax,text/tab-separated-values",2,0
4,doi:10.7910/DVN/GAAKFB,https://doi.org/10.7910/DVN/GAAKFB,1,2020-07-31 14:02:44+00:00,2020-07-31 14:02:44+00:00,88,88,100,True,1,0,citation,8,8,"application/x-stata-syntax,text/tab-separated-values",0,0
5,doi:10.7910/DVN/J0PGNY,https://doi.org/10.7910/DVN/J0PGNY,1,2020-07-20 13:20:12+00:00,2020-07-20 13:20:12+00:00,99,99,117,True,1,0,citation,11,11,"application/pdf,text/csv,text/plain,text/tab-separated-values,type/x-r-syntax",1,0
6,doi:10.7910/DVN/XJP8WL,https://doi.org/10.7910/DVN/XJP8WL,1,2020-06-25 19:23:02+00:00,2020-06-25 19:23:02+00:00,124,124,186,True,0,0,citation,4,4,"application/x-stata-syntax,text/tab-separated-values",0,0
7,doi:10.7910/DVN/1IHXRB,https://doi.org/10.7910/DVN/1IHXRB,1,2020-06-16 19:04:53+00:00,2020-06-16 19:04:53+00:00,133,133,272,True,1,0,citation,6,6,application/x-stata-syntax,0,0
8,doi:10.7910/DVN/SRXJLN,https://doi.org/10.7910/DVN/SRXJLN,1,2020-06-12 08:41:56+00:00,2020-06-12 08:41:56+00:00,137,137,151,True,0,0,citation,4,4,"application/x-stata-syntax,text/tab-separated-values",0,0
9,doi:10.7910/DVN/EI1JMG,https://doi.org/10.7910/DVN/EI1JMG,1,2020-06-05 14:19:18+00:00,2020-06-05 14:19:18+00:00,144,144,120,True,0,0,citation,20,20,"application/pdf,application/vnd.ms-excel,application/x-stata-syntax,text/plain,text/tab-separated-values",0,0
10,doi:10.7910/DVN/J7O3EM,https://doi.org/10.7910/DVN/J7O3EM,1,2020-06-04 14:26:03+00:00,2020-06-04 14:26:03+00:00,145,145,92,True,1,1,citation,17,17,"application/x-stata-smcl,application/x-stata-syntax,text/plain,text/tab-separated-values",0,0
11,doi:10.7910/DVN/VJTPJK,https://doi.org/10.7910/DVN/VJTPJK,1,2020-05-07 16:16:44+00:00,2020-05-07 16:16:44+00:00,173,173,2260,True,0,0,citation,21,21,"application/octet-stream,application/pdf,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/x-stata-syntax,text/plain,text/tab-separated-values,text/x-stata-syntax,type/x-r-syntax",0,0
