datasetPID,dataverseName,dataverseUrl,datasetPIDUrl,numberOfVersions,numberOfMajorVersions,publicationDate,latestReleaseDate,ageOfDataset(Days),ageOfLastUpdate(Days),descriptionLenth,termsExist,license,termsOfUseExists,termsOfAccessExists,relPubCount,relPubPIDCount,usedMetadataBlocks,numberOfFiles,noFileDescriptionCount,fileTagsExist,uniqueContentTypes,ingestedTabFilesCount,uningestedTabFilesCount,restrictedFilesCount
doi:10.7910/DVN/KQCGXP,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/KQCGXP,7,2,2018-01-09 21:03:32+00:00,2020-07-14 17:41:52+00:00,1023,106,1700,True,NONE,True,True,0,0,citation,70,70,False,"application/gzip,application/octet-stream,application/pdf,application/vnd.ms-excel,application/x-sql,text/plain,text/plain; charset=US-ASCII,text/tab-separated-values",3,0,70
doi:10.7910/DVN/SXRMGM,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/SXRMGM,1,1,2020-05-08 18:33:33+00:00,2020-05-08 18:33:33+00:00,173,173,81,True,NONE,True,True,0,0,citation,1,1,False,application/zip,0,0,1
doi:10.7910/DVN/KFKUCT,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/KFKUCT,1,1,2020-05-08 17:57:26+00:00,2020-05-08 17:57:26+00:00,173,173,68,True,NONE,True,True,0,0,citation,1,1,False,application/zip,0,0,1
doi:10.7910/DVN/1ZAK6Z,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/1ZAK6Z,1,1,2020-05-08 17:19:38+00:00,2020-05-08 17:19:38+00:00,173,173,68,True,NONE,True,True,0,0,citation,1,1,False,application/zip,0,0,1
doi:10.7910/DVN/MTPD7M,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/MTPD7M,3,3,2019-04-23 19:24:33+00:00,2020-09-20 02:56:51+00:00,554,39,140,True,NONE,True,True,0,0,citation,7,7,False,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,text/csv,text/tab-separated-values",1,6,7
doi:10.7910/DVN/AGJ2ZP,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/AGJ2ZP,3,3,2018-11-08 22:52:17+00:00,2019-04-16 15:45:48+00:00,720,561,306,False,NONE,False,True,0,0,citation,33,28,False,"application/pdf,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",0,1,33
doi:10.7910/DVN/7ZLCQY,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/7ZLCQY,1,1,2018-05-22 19:44:31+00:00,2018-05-22 19:44:31+00:00,890,890,65,True,NONE,True,True,0,0,citation,4,2,False,"application/pdf,application/vnd.ms-excel.sheet.macroEnabled.12,application/vnd.openxmlformats-officedocument.wordprocessingml.document",0,0,4
doi:10.7910/DVN/TZBXW1,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/TZBXW1,1,1,2018-07-26 16:14:31+00:00,2018-07-26 16:14:31+00:00,825,825,75,True,NONE,True,True,0,0,citation,2,2,False,application/zip,0,0,2
doi:10.7910/DVN/VCPBOS,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/VCPBOS,4,3,2018-04-12 21:56:06+00:00,2018-07-26 16:59:07+00:00,930,825,28,True,NONE,True,True,0,0,citation,3,1,False,application/zip,0,0,3
doi:10.7910/DVN/928QMU,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/928QMU,2,2,2019-02-28 19:43:46+00:00,2019-08-06 17:53:33+00:00,608,449,174,True,NONE,True,True,0,0,citation,0,0,False,NA,0,0,0
doi:10.7910/DVN/QUTTUQ,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/QUTTUQ,3,1,2017-10-16 20:21:50+00:00,2020-05-08 18:36:51+00:00,1108,173,430,True,CC0,True,False,0,0,citation,0,0,False,NA,0,0,0
doi:10.7910/DVN/8SRSYK,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/8SRSYK,4,1,2015-11-09 15:50:57+00:00,2017-09-19 15:25:44+00:00,1815,1135,139,True,NONE,True,True,0,0,citation,62,0,True,"application/zip,text/plain",0,0,61
doi:10.7910/DVN/BN5JNU,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/BN5JNU,4,1,2013-03-12 00:00:00+00:00,2017-11-01 19:42:09+00:00,2788,1092,321,True,NONE,True,True,0,0,"citation,geospatial,socialscience",8,0,True,"application/msword,application/octet-stream,application/pdf,application/vnd.ms-excel,text/plain; charset=US-ASCII,text/tab-separated-values",2,0,4
doi:10.7910/DVN/WRFRZZ,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/WRFRZZ,4,1,2013-01-08 00:00:00+00:00,2017-11-01 19:51:53+00:00,2851,1092,323,True,NONE,True,True,0,0,"citation,geospatial,socialscience",6,0,True,"application/msword,application/octet-stream,application/pdf,text/plain; charset=US-ASCII,text/tab-separated-values",1,0,2
doi:10.7910/DVN/TH4ADJ,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/TH4ADJ,6,2,2013-10-04 00:00:00+00:00,2017-09-19 14:51:26+00:00,2582,1135,954,True,NONE,True,True,0,0,"citation,geospatial",12,0,True,"application/msword,application/pdf,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,text/csv,text/plain; charset=US-ASCII",0,4,12
doi:10.7910/DVN/AY2QZM,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/AY2QZM,4,1,2013-07-05 00:00:00+00:00,2017-09-19 15:46:33+00:00,2673,1135,557,True,NONE,True,True,0,0,"citation,geospatial,socialscience",15,0,True,"application/msword,application/pdf,application/vnd.ms-excel,text/plain; charset=US-ASCII",0,0,1
doi:10.7910/DVN/573BWW,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/573BWW,5,1,2007-11-28 00:00:00+00:00,2018-11-26 20:53:47+00:00,4719,702,1111,True,CC0,True,False,0,0,"citation,geospatial,socialscience",10,0,True,"application/msword,text/plain; charset=US-ASCII",0,0,0
doi:10.7910/DVN/4LLA6N,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/4LLA6N,4,1,2013-03-25 00:00:00+00:00,2017-11-01 19:29:07+00:00,2775,1092,321,True,NONE,True,True,0,0,"citation,geospatial,socialscience",6,0,True,"application/dbf,application/msword,application/pdf,application/vnd.ms-excel,text/plain; charset=US-ASCII,text/tab-separated-values",1,0,2
doi:10.7910/DVN/DSVIGU,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/DSVIGU,3,2,2018-04-11 23:11:12+00:00,2018-07-27 20:24:32+00:00,931,824,27,True,NONE,True,True,0,0,citation,2,0,False,application/zip,0,0,2
doi:10.7910/DVN/3CJ4RG,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/3CJ4RG,2,1,2017-10-31 22:00:26+00:00,2017-11-01 18:34:18+00:00,1093,1092,28,True,NONE,True,True,0,0,citation,15,0,False,text/plain,0,0,15
