datasetPID,dataverseName,dataverseUrl,datasetPIDUrl,numberOfVersions,numberOfMajorVersions,publicationDate,latestReleaseDate,ageOfDataset(Days),ageOfLastUpdate(Days),descriptionLenth,termsExist,license,termsOfUseExists,termsOfAccessExists,relPubCount,relPubPIDCount,usedMetadataBlocks,numberOfFiles,noFileDescriptionCount,fileTagsExist,uniqueContentTypes,ingestedTabFilesCount,uningestedTabFilesCount,restrictedFilesCount
doi:10.7910/DVN/HZGEFS,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/HZGEFS,2,1,2017-10-03 16:45:40+00:00,2017-11-01 18:49:24+00:00,1121,1092,66,True,NONE,True,True,0,0,citation,4,1,False,"application/pdf,application/vnd.ms-excel,text/plain,text/tab-separated-values",1,0,4
doi:10.7910/DVN/XMHUNT,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/XMHUNT,4,1,2013-03-25 00:00:00+00:00,2017-11-01 19:05:11+00:00,2775,1092,321,True,NONE,True,True,0,0,"citation,geospatial,socialscience",7,0,True,"application/octet-stream,application/pdf,application/vnd.ms-excel,text/plain; charset=US-ASCII,text/tab-separated-values",2,0,4
doi:10.7910/DVN/UEBVER,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/UEBVER,3,1,2012-12-06 00:00:00+00:00,2018-01-03 15:31:45+00:00,2884,1029,232,True,NONE,True,True,0,0,"citation,geospatial,socialscience",14,0,True,"application/dbf,application/octet-stream,application/pdf,text/plain; charset=US-ASCII,text/tab-separated-values",3,0,6
doi:10.7910/DVN/TO8XEQ,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/TO8XEQ,1,1,2019-03-18 22:22:38+00:00,2019-03-18 22:22:38+00:00,590,590,103,True,CC0,True,False,0,0,citation,3,0,False,application/pdf,0,0,0
doi:10.7910/DVN/OKEZ8A,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/OKEZ8A,3,2,2017-12-13 22:51:55+00:00,2018-03-09 19:04:33+00:00,1050,964,55,True,NONE,True,True,0,0,citation,13,0,False,"application/pdf,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,text/tab-separated-values",6,1,12
doi:10.7910/DVN/SQH78P,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/SQH78P,4,1,2017-10-25 22:52:13+00:00,2020-07-14 17:46:17+00:00,1099,106,27,True,NONE,True,True,0,0,citation,10,0,False,text/plain,0,0,10
doi:10.7910/DVN/UFNZHY,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/UFNZHY,2,1,2017-10-12 21:28:19+00:00,2017-10-19 18:59:21+00:00,1112,1105,52,True,NONE,True,True,0,0,citation,11,0,False,"application/pdf,application/vnd.ms-excel,text/tab-separated-values",7,0,11
doi:10.7910/DVN/UDZZHP,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/UDZZHP,1,1,2019-05-10 18:01:29+00:00,2019-05-10 18:01:29+00:00,537,537,601,True,NONE,True,True,0,0,citation,7,7,False,application/octet-stream,0,0,7
doi:10.7910/DVN/GW2P3G,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/GW2P3G,12,8,2014-01-06 00:00:00+00:00,2020-09-18 15:37:54+00:00,2488,40,286,True,NONE,True,True,0,0,"citation,geospatial,socialscience",52,4,True,"application/msword,application/octet-stream,application/pdf,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/x-gzip,application/zip,text/plain; charset=US-ASCII",0,1,52
doi:10.7910/DVN/TWOGGC,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/TWOGGC,2,1,2017-08-02 16:34:59+00:00,2020-05-08 18:36:12+00:00,1183,173,612,True,CC0,True,False,0,0,citation,0,0,False,NA,0,0,0
