,datasetPID,datasetPIDUrl,numberOfVersions,publicationDate,latestReleaseDate,ageOfDataset(Days),ageOfLastUpdate(Days),descriptionLenth,termsExist,relPubCount,relPubPIDCount,usedMetadataBlocks,numberOfFiles,noFileDescriptionCount,uniqueContentTypes,uningestedTabFilesCount,restrictedFilesCount
27,doi:10.7910/DVN/EKFJYE,https://doi.org/10.7910/DVN/EKFJYE,5,2020-05-20 08:35:44+00:00,2020-07-02 07:42:30+00:00,160,117,247,True,0,0,"citation,geospatial",16,16,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.wordprocessingml.document,text/tab-separated-values",1,16
28,doi:10.7910/DVN/7UFTV6,https://doi.org/10.7910/DVN/7UFTV6,2,2020-05-19 04:04:43+00:00,2020-06-05 05:18:28+00:00,161,144,71,True,0,0,citation,1,0,text/tab-separated-values,0,1
29,doi:10.7910/DVN/YNVJXV,https://doi.org/10.7910/DVN/YNVJXV,3,2019-06-25 05:51:00+00:00,2019-11-15 06:55:37+00:00,490,347,1468,True,1,1,citation,1,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1,0
30,doi:10.7910/DVN/GA0NTB,https://doi.org/10.7910/DVN/GA0NTB,5,2019-06-14 16:47:21+00:00,2020-06-10 07:16:46+00:00,501,139,869,True,0,0,citation,9,7,"application/octet-stream,text/plain",0,9
31,doi:10.7910/DVN/Z61OAQ,https://doi.org/10.7910/DVN/Z61OAQ,7,2018-11-05 08:26:23+00:00,2020-06-11 02:05:17+00:00,722,138,2689,True,1,1,"citation,geospatial",1,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1,0
32,doi:10.7910/DVN/0YPGIT,https://doi.org/10.7910/DVN/0YPGIT,4,2018-09-30 11:51:55+00:00,2020-03-13 04:51:59+00:00,758,228,1504,True,4,2,"citation,geospatial",0,0,NA,0,0
33,doi:10.7910/DVN/B0DEY1,https://doi.org/10.7910/DVN/B0DEY1,1,2020-03-25 04:04:25+00:00,2020-03-25 04:04:25+00:00,216,216,1910,True,1,1,"citation,geospatial",1,1,text/tab-separated-values,0,0
34,doi:10.7910/DVN/QKVXOP,https://doi.org/10.7910/DVN/QKVXOP,2,2020-03-24 05:06:58+00:00,2020-03-24 05:07:37+00:00,217,217,1357,True,1,1,"citation,geospatial",1,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1,0
35,doi:10.7910/DVN/HKTK7B,https://doi.org/10.7910/DVN/HKTK7B,1,2020-03-24 05:38:35+00:00,2020-03-24 05:38:35+00:00,217,217,1906,True,1,1,citation,1,1,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,0
36,doi:10.7910/DVN/TQIAN4,https://doi.org/10.7910/DVN/TQIAN4,1,2020-03-24 05:55:02+00:00,2020-03-24 05:55:02+00:00,217,217,1502,True,1,1,"citation,geospatial",1,1,text/tab-separated-values,0,0
37,doi:10.7910/DVN/TVGIJJ,https://doi.org/10.7910/DVN/TVGIJJ,7,2020-03-05 01:47:43+00:00,2020-07-02 08:00:53+00:00,236,117,148,True,3,2,"citation,geospatial",4,3,"application/vnd.ms-excel,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
38,doi:10.7910/DVN/BNJPPU,https://doi.org/10.7910/DVN/BNJPPU,2,2020-03-24 04:29:27+00:00,2020-03-24 05:12:02+00:00,217,217,478,True,1,1,citation,2,2,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,0
39,doi:10.7910/DVN/6LEU9O,https://doi.org/10.7910/DVN/6LEU9O,14,2018-09-05 02:37:08+00:00,2020-06-10 05:45:30+00:00,783,139,276,True,1,1,"citation,geospatial",1,0,text/tab-separated-values,0,1
40,doi:10.7910/DVN/YS5QQJ,https://doi.org/10.7910/DVN/YS5QQJ,3,2020-02-04 08:22:31+00:00,2020-06-09 07:17:55+00:00,266,140,69,True,0,0,"citation,geospatial",2,0,text/tab-separated-values,0,2
41,doi:10.7910/DVN/PPJSKR,https://doi.org/10.7910/DVN/PPJSKR,3,2020-01-30 07:08:46+00:00,2020-06-09 07:22:10+00:00,271,140,30,True,0,0,"citation,geospatial",2,0,text/tab-separated-values,0,2
42,doi:10.7910/DVN/PG51EZ,https://doi.org/10.7910/DVN/PG51EZ,1,2020-02-06 06:29:18+00:00,2020-02-06 06:29:18+00:00,264,264,47,True,0,0,"citation,geospatial",2,0,text/tab-separated-values,0,2
43,doi:10.7910/DVN/W0K9BF,https://doi.org/10.7910/DVN/W0K9BF,5,2019-07-31 03:17:36+00:00,2019-10-25 19:27:25+00:00,454,368,2196,True,1,1,"citation,geospatial",2,1,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.wordprocessingml.document",1,0
44,doi:10.7910/DVN/BMNJPS,https://doi.org/10.7910/DVN/BMNJPS,3,2019-04-30 01:26:10+00:00,2019-07-10 08:02:57+00:00,546,475,437,True,0,0,citation,1,1,text/tab-separated-values,0,0
45,doi:10.7910/DVN/6AME7W,https://doi.org/10.7910/DVN/6AME7W,5,2019-03-01 02:47:09+00:00,2020-06-12 01:09:54+00:00,606,137,712,True,0,0,"citation,geospatial",2,1,"application/pdf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",1,0
46,doi:10.7910/DVN/JNJIUK,https://doi.org/10.7910/DVN/JNJIUK,11,2018-11-05 08:44:57+00:00,2020-06-11 02:07:55+00:00,722,138,1970,True,1,1,"citation,geospatial",1,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1,0
47,doi:10.7910/DVN/TMUJ7X,https://doi.org/10.7910/DVN/TMUJ7X,8,2019-01-08 06:06:44+00:00,2020-10-13 07:12:58+00:00,658,14,1092,True,0,0,"citation,geospatial",2,1,"application/pdf,text/tab-separated-values",0,0
48,doi:10.7910/DVN/YGT1BU,https://doi.org/10.7910/DVN/YGT1BU,6,2018-09-24 03:17:42+00:00,2020-10-13 07:11:07+00:00,764,14,81,True,1,1,"citation,geospatial",1,0,text/tab-separated-values,0,0
49,doi:10.7910/DVN/BSBIWE,https://doi.org/10.7910/DVN/BSBIWE,5,2018-09-30 12:21:25+00:00,2020-03-05 03:40:39+00:00,758,236,2430,True,0,0,"citation,geospatial",0,0,NA,0,0
50,doi:10.7910/DVN/9XO0HB,https://doi.org/10.7910/DVN/9XO0HB,11,2018-11-05 09:04:34+00:00,2020-06-11 02:08:57+00:00,722,138,2080,True,1,1,"citation,geospatial",1,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1,0
51,doi:10.7910/DVN/8J0V6I,https://doi.org/10.7910/DVN/8J0V6I,4,2016-01-08 05:51:29+00:00,2020-06-03 02:54:54+00:00,1754,146,110,True,1,0,"citation,geospatial",3,0,"application/msword,application/pdf,application/vnd.ms-excel",0,0
52,doi:10.7910/DVN/LFDERG,https://doi.org/10.7910/DVN/LFDERG,5,2018-09-30 12:07:02+00:00,2020-03-13 04:45:21+00:00,758,228,6764,True,1,1,"citation,geospatial",0,0,NA,0,0
53,doi:10.7910/DVN/ECFS7N,https://doi.org/10.7910/DVN/ECFS7N,6,2019-07-29 02:12:34+00:00,2020-06-09 07:44:59+00:00,456,140,1620,True,1,1,citation,2,1,"application/pdf,text/tab-separated-values",0,0
54,doi:10.7910/DVN/KKKEZM,https://doi.org/10.7910/DVN/KKKEZM,7,2018-10-25 05:50:36+00:00,2019-11-15 06:59:40+00:00,733,347,3428,True,0,0,"citation,geospatial",7,2,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.wordprocessingml.document,image/jpeg,text/tab-separated-values",3,7
55,doi:10.7910/DVN/5KTV2Q,https://doi.org/10.7910/DVN/5KTV2Q,5,2019-07-05 04:07:29+00:00,2020-03-13 03:12:11+00:00,480,228,1909,True,1,1,citation,2,2,text/tab-separated-values,0,0
56,doi:10.7910/DVN/4NHRXG,https://doi.org/10.7910/DVN/4NHRXG,3,2020-03-26 07:09:02+00:00,2020-07-02 07:50:21+00:00,215,117,184,True,0,0,"citation,geospatial,socialscience",2,2,"application/pdf,text/tab-separated-values",0,2
57,doi:10.7910/DVN/1732LM,https://doi.org/10.7910/DVN/1732LM,6,2018-09-13 02:02:22+00:00,2020-10-13 07:12:17+00:00,775,14,555,True,0,0,"citation,geospatial",2,2,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,text/tab-separated-values",1,0
58,doi:10.7910/DVN/FL9DDZ,https://doi.org/10.7910/DVN/FL9DDZ,14,2018-05-16 01:47:42+00:00,2020-10-13 07:32:24+00:00,895,14,4629,True,2,2,"citation,geospatial",3,0,"application/pdf,application/vnd.ms-excel,text/tab-separated-values",0,0
59,doi:10.7910/DVN/KUVQKY,https://doi.org/10.7910/DVN/KUVQKY,4,2016-01-08 05:50:34+00:00,2020-06-01 03:08:27+00:00,1754,148,498,True,0,0,citation,1,0,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1,0
60,doi:10.7910/DVN/LDCXIZ,https://doi.org/10.7910/DVN/LDCXIZ,4,2019-07-22 08:53:39+00:00,2020-06-10 02:45:26+00:00,463,139,145,True,1,1,"citation,geospatial",3,1,"application/pdf,application/vnd.openxmlformats-officedocument.wordprocessingml.document,text/plain",0,0
61,doi:10.7910/DVN/ZDVCKE,https://doi.org/10.7910/DVN/ZDVCKE,2,2019-07-22 08:34:02+00:00,2019-07-29 02:16:16+00:00,463,456,1725,True,1,1,citation,1,0,application/pdf,0,0
62,doi:10.7910/DVN/9CNTYS,https://doi.org/10.7910/DVN/9CNTYS,4,2016-01-08 10:44:57+00:00,2019-07-08 06:30:33+00:00,1754,477,356,True,0,0,citation,2,2,"application/pdf,image/tiff",0,0
63,doi:10.7910/DVN/1OCLDP,https://doi.org/10.7910/DVN/1OCLDP,4,2016-01-08 10:44:51+00:00,2020-06-03 05:55:42+00:00,1754,146,576,True,0,0,citation,1,0,application/zipped-shapefile,0,0
64,doi:10.7910/DVN/TUVQ0I,https://doi.org/10.7910/DVN/TUVQ0I,5,2016-01-08 10:43:45+00:00,2020-06-03 03:01:54+00:00,1754,146,747,True,0,0,citation,1,0,application/zipped-shapefile,0,0
