installation_name,known_hostname,working_installation_url,installation_status,something_blocking_api_use,API_token_used,get_installation_version_api_status,dataverse_version,dataverse_version_sanitized,search_api_status,dataset_count,dataset_count_range,sample_dataset_pid,get_dataverse_json_export_api_status,get_metadatablocks_api_status,datacite_client_id
CIMMYT Research Data,data.cimmyt.org,https://data.cimmyt.org,200,FALSE,TRUE,OK,6.4,6.4,OK,1132,"1,000–9,999",hdl:11529/10549335,OK,OK,
MELDATA,data.mel.cgiar.org,https://data.mel.cgiar.org,200,FALSE,FALSE,OK,6.5,6.5,OK,616,500–999,hdl:20.500.11766.1/FK2/F2BS5I,OK,OK,
SciELO Data,data.scielo.org,https://data.scielo.org,403,TRUE,TRUE,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,,,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,,,,,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,
CoronaWhy Dataverse,datasets.coronawhy.org,https://datasets.coronawhy.org,404,TRUE,FALSE,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,,,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,,,,,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,
IISH Dataverse,datasets.iisg.amsterdam,https://datasets.iisg.amsterdam,200,FALSE,FALSE,OK,5.12,5.12,OK,369,100–499,hdl:10622/MT2H0N,OK,OK,
Repositório de Datos de la Universidad del Pacifico (DatasetsUP),datasets.up.edu.pe,https://datasets.up.edu.pe,200,FALSE,FALSE,OK,6.5,6.5,OK,37,0–99,hdl:20.500.14139/VOMCNU,OK,OK,
DataSpace@HKUST,dataspace.ust.hk,https://dataspace.hkust.edu.hk,200,FALSE,FALSE,OK,6.1,6.1,OK,145,100–499,doi:10.14711/dataset/EGY9GS,OK,OK,
Maine Dataverse Network,dataverse.acg.maine.edu/dvn,https://dataverse.acg.maine.edu,200,TRUE,FALSE,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,,,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,,,,,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,
ADA Dataverse,dataverse.ada.edu.au,https://dataverse.ada.edu.au,200,TRUE,TRUE,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,,,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,,,,,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,
Botswana Harvard Data,dataverse.bhp.org.bw,https://lists.bhp.org.bw,503,TRUE,FALSE,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,,,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,,,,,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,
Centro Brasileiro de Pesquisas Físicas - CBPF,dataverse.cbpf.br,https://dataverse.cbpf.br,200,FALSE,FALSE,OK,6.6,6.6,OK,6,0–99,doi:10.82037/CBPF/88JNVM,OK,OK,
FGV Dataverse,dataverse.fgv.br,https://dataverse.fgv.br,200,FALSE,FALSE,OK,6.10.1,6.10.1,OK,57,0–99,hdl:10438.3/FK2/FG8MRP,OK,OK,
ICRISAT,dataverse.icrisat.org,https://dataverse.icrisat.org,403,TRUE,TRUE,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,,,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,,,,,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,
IFDC Dataverse,dataverse.ifdc.org,https://dataverse.ifdc.org,"ERROR: HTTPSConnectionPool(host='dataverse.ifdc.org', port=443): Read timed out. (read timeout=20)",TRUE,FALSE,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,,,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,,,,,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,
Repositório de Dados de Pesquisa do ILEEL,dataverse.ileel.ufu.br,https://dataverse.ileel.ufu.br,"ERROR: HTTPSConnectionPool(host='dataverse.ileel.ufu.br', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x11a17f9d0>: Failed to resolve 'dataverse.ileel.ufu.br' ([Errno 8] nodename nor servname provided, or not known)""))",FALSE,FALSE,"HTTPSConnectionPool(host='dataverse.ileel.ufu.br', port=443): Max retries exceeded with url: /api/v1/info/version (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x118b051d0>: Failed to resolve 'dataverse.ileel.ufu.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,"HTTPSConnectionPool(host='dataverse.ileel.ufu.br', port=443): Max retries exceeded with url: /api/v1/search?q=*&fq=-metadataSource:%22Harvested%22&type=dataset&per_page=1&sort=date&order=desc (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x11a66dd10>: Failed to resolve 'dataverse.ileel.ufu.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,"HTTPSConnectionPool(host='dataverse.ileel.ufu.br', port=443): Max retries exceeded with url: /api/v1/metadatablocks (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x11a66e0d0>: Failed to resolve 'dataverse.ileel.ufu.br' ([Errno 8] nodename nor servname provided, or not known)""))",
IDSC Dataverse,dataverse.iza.org,https://dataverse.iza.org,200,FALSE,FALSE,OK,5.13,5.13,OK,113,100–499,doi:10.15185/glmlic.978.1,OK,OK,
ICWSM,dataverse.mpi-sws.org,https://dataverse.mpi-sws.org,"ERROR: HTTPSConnectionPool(host='dataverse.mpi-sws.org', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x11a66f250>: Failed to resolve 'dataverse.mpi-sws.org' ([Errno 8] nodename nor servname provided, or not known)""))",FALSE,FALSE,"HTTPSConnectionPool(host='dataverse.mpi-sws.org', port=443): Max retries exceeded with url: /api/v1/info/version (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x11a66f9d0>: Failed to resolve 'dataverse.mpi-sws.org' ([Errno 8] nodename nor servname provided, or not known)""))",,,"HTTPSConnectionPool(host='dataverse.mpi-sws.org', port=443): Max retries exceeded with url: /api/v1/search?q=*&fq=-metadataSource:%22Harvested%22&type=dataset&per_page=1&sort=date&order=desc (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x11a66e0d0>: Failed to resolve 'dataverse.mpi-sws.org' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,"HTTPSConnectionPool(host='dataverse.mpi-sws.org', port=443): Max retries exceeded with url: /api/v1/metadatablocks (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x11a708410>: Failed to resolve 'dataverse.mpi-sws.org' ([Errno 8] nodename nor servname provided, or not known)""))",
Institute of Russian Literature Dataverse,dataverse.pushdom.ru,https://dataverse.pushdom.ru,200,FALSE,TRUE,OK,5.9.pushdom,5.9,OK,47,0–99,doi:10.31860/openlit-2024.10-B005,OK,OK,
Repositório TECdatos,dataverse.tec.ac.cr,https://dataverse.tec.ac.cr,200,FALSE,FALSE,OK,6.2,6.2,OK,49,0–99,doi:10.18845/RDA/BAC4OK,OK,OK,
Open Data @ UCLouvain,dataverse.uclouvain.be,https://dataverse.uclouvain.be,200,FALSE,FALSE,OK,6.8,6.8,OK,213,100–499,doi:10.14428/DVN/Y63IQ5,OK,OK,
Repositório de Dados de Pesquisa da UFABC,dataverse.ufabc.edu.br,https://dataverse.ufabc.edu.br,503,TRUE,FALSE,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,,,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,,,,,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,
Pontificia Universidad Católica del Perú,datos.pucp.edu.pe,https://datos.pucp.edu.pe,200,FALSE,FALSE,OK,6.1,6.1,OK,833,500–999,hdl:20.500.12534/JR6CMB,OK,OK,
Repositório de Datos de Investigación de la Universidad Nacional de La Plata,datos.unlp.edu.ar,https://datos.unlp.edu.ar,200,FALSE,FALSE,OK,6,6,OK,20,0–99,perma:10915datasetOAZQJO,OK,OK,
Repositório de Datos Universidad Distrital Francisco José de Caldas ,datosinvestigacion.udistrital.edu.co,https://datosinvestigacion.udistrital.edu.co,200,FALSE,FALSE,OK,6.2,6.2,OK,1,0–99,doi:10.14483/DQMXCT,OK,OK,
Domus Dados,domusdados.unifesp.br,https://domusdados.unifesp.br,200,FALSE,TRUE,OK,6.8,6.8,OK,115,100–499,hdl:20.500.12682/rdp/V71BKW,OK,OK,
DUnAs,dunas.ua.pt,https://dunas.ua.pt,"ERROR: HTTPSConnectionPool(host='dunas.ua.pt', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x11a66ead0>, 'Connection to dunas.ua.pt timed out. (connect timeout=20)'))",FALSE,FALSE,"HTTPSConnectionPool(host='dunas.ua.pt', port=443): Max retries exceeded with url: /api/v1/info/version (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x11a708b90>, 'Connection to dunas.ua.pt timed out. (connect timeout=60)'))",,,"HTTPSConnectionPool(host='dunas.ua.pt', port=443): Max retries exceeded with url: /api/v1/search?q=*&fq=-metadataSource:%22Harvested%22&type=dataset&per_page=1&sort=date&order=desc (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x11a66fb10>, 'Connection to dunas.ua.pt timed out. (connect timeout=60)'))",,,,,"HTTPSConnectionPool(host='dunas.ua.pt', port=443): Max retries exceeded with url: /api/v1/metadatablocks (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x11a66f750>, 'Connection to dunas.ua.pt timed out. (connect timeout=60)'))",
Fudan University,dvn.fudan.edu.cn,https://dvn.fudan.edu.cn,200,TRUE,FALSE,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,,,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,,,,,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,
Health Study Hub,health-study-hub.de,https://health-study-hub.de,200,FALSE,FALSE,OK,6.10.1 hello,6.10.1,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,,,,,Installation may require javascript. Check if it's using Anubis or something else that blocks API use,
Lithuanian Data Archive for Social Sciences and Humanities (LiDA),lida.dataverse.lt,https://lida.dataverse.lt,200,FALSE,FALSE,OK,6.7.1,6.7.1,OK,636,500–999,hdl:21.12137/KZNJFW,OK,OK,
CESA | Repositório de datos académicos,opendata.cesa.edu.co,https://opendata.cesa.edu.co,200,FALSE,FALSE,OK,5.12.1,5.12.1,OK,11,0–99,doi:10.57130/FK2/I7DHJ1,OK,OK,
Redape - Repositório de Dados de Pesquisa da Embrapa,redape.dados.embrapa.br,https://redape.dados.embrapa.br,"ERROR: HTTPSConnectionPool(host='redape.dados.embrapa.br', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x11a66f890>: Failed to resolve 'redape.dados.embrapa.br' ([Errno 8] nodename nor servname provided, or not known)""))",FALSE,FALSE,"HTTPSConnectionPool(host='redape.dados.embrapa.br', port=443): Max retries exceeded with url: /api/v1/info/version (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x11a66df90>: Failed to resolve 'redape.dados.embrapa.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,"HTTPSConnectionPool(host='redape.dados.embrapa.br', port=443): Max retries exceeded with url: /api/v1/search?q=*&fq=-metadataSource:%22Harvested%22&type=dataset&per_page=1&sort=date&order=desc (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x11a3cb750>: Failed to resolve 'redape.dados.embrapa.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,"HTTPSConnectionPool(host='redape.dados.embrapa.br', port=443): Max retries exceeded with url: /api/v1/metadatablocks (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x11a709310>: Failed to resolve 'redape.dados.embrapa.br' ([Errno 8] nodename nor servname provided, or not known)""))",
ARP,repo.researchdata.hu,https://repo.researchdata.hu,302,FALSE,FALSE,OK,6.9,6.9,OK,222,100–499,hdl:21.15109/ARP/YZCZCO,OK,OK,
IBICT,repositoriopesquisas.ibict.br,https://repositoriopesquisas.ibict.br,200,FALSE,TRUE,OK,5.3,5.3,OK,190,100–499,doi:10.5072/FK2/LETDKG,OK,OK,
RODBUK,rodbuk.pl,https://rodbuk.pl,200,FALSE,FALSE,,6.9,6.9,FALSE,,,,,,
RODBUCK UKEN,uken.rodbuk.pl,https://uken.rodbuk.pl,200,FALSE,FALSE,OK,6.7.1,6.7.1,OK,11,0–99,doi:10.24917/ZBNIJ5,OK,OK,
