installation_name,known_hostname,working_installation_url,installation_status,something_blocking_api_use,API_token_used,get_installation_version_api_status,dataverse_version,dataverse_version_sanitized,search_api_status,dataset_count,dataset_count_range,sample_dataset_pid,get_dataverse_json_export_api_status,get_metadatablocks_api_status,datacite_client_id
Johns Hopkins Research Data Repository,archive.data.jhu.edu,https://archive.data.jhu.edu,200,FALSE,FALSE,OK,6.10.1,6.10.1,OK,660,500–999,doi:10.7281/T15AV9PY,OK,OK,gdcc.jhu
bonndata,bonndata.uni-bonn.de,https://bonndata.uni-bonn.de,200,FALSE,FALSE,OK,6.7.1,6.7.1,OK,364,100–499,doi:10.60507/FK2/JJ5QZX,OK,OK,bxbq.udhdyc
Borealis/ODISSEI Portal/Scholars Portal,borealisdata.ca,https://borealisdata.ca,200,FALSE,FALSE,OK,6.8.2-SP,6.8.2,OK,24236,"10,000–99,999",doi:10.5683/SP4/4E9RMO,OK,OK,ocul.spdv
dare,dare.uol.de,https://dare.uol.de,200,FALSE,FALSE,OK,6.2,6.2,OK,67,0–99,doi:10.57782/OMZSUL,OK,OK,bisold.dareuol
AUSSDA Dataverse,data.aussda.at,https://data.aussda.at,200,FALSE,FALSE,OK,6.7.1,6.7.1,OK,1612,"1,000–4,999",doi:10.11587/SKDQSJ,OK,OK,gesis.aussda
International Potato Center,data.cipotato.org,https://data.cipotato.org,200,FALSE,TRUE,OK,6.2,6.2,OK,951,500–999,doi:10.21223/P3/CKYEB5,OK,OK,sml.cip
CROSSDA,data.crossda.hr,https://data.crossda.hr,200,FALSE,FALSE,OK,6.2,6.2,OK,39,0–99,doi:10.23669/NEYPD0,OK,OK,gesis.ffzg
ioerDATA,data.fdz.ioer.de,https://data.fdz.ioer.de,200,FALSE,FALSE,OK,6.10.1,6.10.1,OK,37,0–99,doi:10.71830/9CBBWV,OK,OK,mzhu.ioerdata
Jülich DATA,data.fz-juelich.de,https://data.fz-juelich.de,200,FALSE,FALSE,OK,4.2,4.2,OK,603,500–999,doi:10.26165/JUELICH-DATA/66BLEL,OK,OK,fzj.zb
Göttingen Research Online,data.goettingen-research-online.de,https://data.goettingen-research-online.de,200,FALSE,FALSE,OK,6.4,6.4,OK,2527,"1,000–4,999",doi:10.25625/FXT2EW,OK,OK,subgoe.gro
data.sciencespo,data.sciencespo.fr,https://data.sciencespo.fr,200,FALSE,FALSE,OK,5.14,5.14,OK,552,500–999,doi:10.21410/7E4/OZGBZY,OK,OK,inist.cdsp
Gustave Eiffel University Dataverse,data.univ-gustave-eiffel.fr,https://data.univ-gustave-eiffel.fr,200,FALSE,FALSE,OK,5.6,5.6,OK,31,0–99,doi:10.25578/BWZBBI,OK,OK,inist.ifsttar
World Agroforestry - Research Data Repository,data.worldagroforestry.org,https://data.worldagroforestry.org,200,FALSE,TRUE,OK,4.2,4.2,OK,649,500–999,doi:10.34725/DVN/66BFOB,OK,OK,gdcc.icraf
POLEN DataHub,datahub.polen.fccn.pt,https://datahub.polen.fccn.pt,200,FALSE,FALSE,OK,6.7.1,6.7.1,OK,30,0–99,doi:10.57979/SX7EJU,OK,OK,ivuw.polen
Tecnológico de Monterrey Data Hub,datahub.tec.mx,https://datahub.tec.mx,200,FALSE,FALSE,OK,5.9,5.9,OK,37,0–99,doi:10.57687/FK2/5WZMGP,OK,OK,itesm.ojevlu
dataportal.ing.pan.pl,dataportal.ing.pan.pl,https://dataportal.ing.pan.pl,200,FALSE,FALSE,OK,6.7.1,6.7.1,OK,34,0–99,doi:10.60871/INGPAN/XBIMH2,OK,OK,ingpan.ehqcya
DataRepositoriUM,datarepositorium.sdum.uminho.pt,https://datarepositorium.uminho.pt,200,FALSE,FALSE,OK,4.2,4.2,OK,324,100–499,doi:10.34622/datarepositorium/WORWMA,OK,OK,fct.uminho
Università Ca’ Foscari Venezia Datarepository,datarepository.unive.it,https://datarepository.unive.it,405,FALSE,FALSE,OK,6.4,6.4,OK,43,0–99,doi:10.71731/DATA_UNIVE/DJQ3FK,OK,OK,frnw.fuefjy
Repositório de datos de la Universidad de Concepción,datav.udec.cl,https://datav.udec.cl,200,FALSE,FALSE,OK,5,5,OK,17,0–99,doi:10.48665/udec/FJBASE,OK,OK,udec.umbvla
ADP - Slovenian Social Science Data Archives,dataverse.adp.fdv.uni-lj.si,https://dataverse.adp.fdv.uni-lj.si,200,FALSE,FALSE,OK,5.8,5.8,OK,272,100–499,doi:10.17898/ADP_SJM041_V1,OK,OK,gesis.adp
Wyoming Data Repository,dataverse.arcc.uwyo.edu,https://dataverse.arcc.uwyo.edu,200,FALSE,FALSE,OK,6.10.1,6.10.1,OK,170,100–499,doi:10.15786/HJPWJX,OK,OK,wyoming.rep1
ASU Library Research Data Repository,dataverse.asu.edu,https://dataverse.asu.edu,403,FALSE,FALSE,OK,6.10.1,6.10.1,OK,100,100–499,doi:10.48349/ASU/KKWFWE,OK,OK,asu.asul
BSC Dataverse,dataverse.bsc.es,https://dataverse.bsc.es,200,FALSE,FALSE,OK,6.9,6.9,OK,102,100–499,doi:10.82201/ZLFUAM,OK,OK,bsccns.bsstos
USC Dataverse,dataverse.carc.usc.edu,https://dataverse.carc.usc.edu,200,FALSE,FALSE,OK,6.8,6.8,OK,9,0–99,doi:10.34728/FK2/GWCQ6K,OK,OK,usc.dataverse
